職務名稱,公司名稱,學歷,地區,應徵人數,工作說明,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,具備駕照,其他條件,公司福利,產業類別,產業描述,員工,資本額,聯絡人,公司地址,電話,傳真,公司網址,公司簡介,主要商品／服務項目,,,,
Back-end Web Developer 後端網頁工程師,丞希綠色資訊企業有限公司,"
高中","
台北市信義區","
0~5人應徵","工作內容 1. 系統開發建置/維護 2. 資料庫設計 3. 依照專案規格、文件與團隊一起開發軟體與程式維護  實務經驗 1. 需熟悉 PHP, ASP.NET, Python, Node.js (等任一後端語言) 2. 接觸過電子商務平台開發 (Wordpress, Joomla)",Internet程式設計師、軟體設計工程師、電腦系統分析師認識「」職務詳細職類分析(工作內容、薪資分布..)更多相關工作,"月薪50,000~100,000元",全職,台北市信義區基隆路一段400號10樓之2地圖找工作,不需負擔管理責任,無需出差外派,日班,週休二日,不限,不限,上班族、應屆畢業生、夜間就讀中、學生實習,不拘,高中以上,不拘,不拘,不拘,不拘,,"【加分條件】1.曾有金流串接經驗2.接觸過大流量系統開發3.有些許前端概念為佳(CSS,Javascript)【其他】-對APP產業充滿熱情，並願意精進自己的技術-喜歡團隊合作，互相討論與分享知識與經驗，喜歡學習新知識。-詳細薪資，依照經驗給薪歡迎Junior,SeniorEngineers加入團隊，讓我們一起創造更好的網路應用生活",◆ 分紅/配股/獎金員工認股業績獎金創新與專利獎  ◆ 保險類勞保健保◆ 休閒類免費供餐、各種零食不定期部門聚餐閱覽各種程式書籍、商管書籍◆ 請 / 休假制度週休二日到職即按比例享7天特休女性同仁生理假 / 育嬰假◆ 其他不定期舉辦黑客松認識各領域強者上下班不用打卡，彈性工時做好做滿8小時,網際網路相關業,APP、雲端、軟硬體整合,10人,100萬元,高先生,台北市信義區基隆路一段400號10樓之2地圖,暫不提供,暫不提供,http://chenghsi.com/,"【公司簡介】
我們公司, 丞希綠色資訊  致力於 Social Network (facebook, twitter...)上面技術開發. 我們提供創意的技術元件, 讓消費者享受更便利的生活和網路環境. 
 我們的團隊，由來自各方的夥伴組成，公司的負責人是交大資工博士，其他成員來自台大、清大，以及正在美國Stanford和上海交大的夥伴。大家一起努力，享受創業及一起解決問題的開心。累積至目前已經有六個專利、四個獎項。
 我們常與各知名團隊共同舉辦黑客松活動，例如AppUniverz、成功大學等，希望能活絡臺灣資訊軟體技術等人才。在這邊也有機會認識不同專業領域的強者，互相切磋琢磨技術，共同成長。
 【關於丞希】
丞希綠色資訊(ChengHsi.com)，專於提供科技服務與新創技術創業資源。專為有點子、想法、目標、夢想的您提供最佳的合作平台。若您有夢想與目標，歡迎加入我們，一起走向成功的未來。讓我們一起寫下精彩的歷史。
 【提供的服務】
一、網頁設計客製化研發/設計：
電子商務平台設計 (金流/社群)
公司形象官網
遊戲設計
雲端運用/大數據。
 二、手機軟體客製化研發/設計：
Android/ iOS APP 設計
遊戲 (Unity) 手遊設計
雲端運用/自動化。
 三、提供您創業平台：提供您共同創業/研發/新創/產品/點子相關創業平台，為您實現夢想！
 【公司網站】
http://ChengHsi.com",【自家產品】Yogosong（友夠Song）http://www.bnext.com.tw/article/view/id/30616【APP】1. 一般: 肌肉訓練 APP、減肥 APP、外匯APP、訂餐通 APP、POS APP…等2. 遊戲:死亡山道賽 http://goo.gl/MPKIHb 最後一百哩 https://goo.gl/bvhICc【 網站】1. 電子商務平台 2. 文章商用平台3. 各種公司官網,,,,
多媒體研發工程師,訊連科技股份有限公司,"
大學","
新北市新店區","
6~10人應徵","我們在做這樣的事：1. 開發多媒體影音軟體我們在找這樣的人才：1. C/C++, Python精通至少一種2. 熟windows programming尤佳3. 具跨小組溝通及協調能力4. 多媒體影像/視訊處理相關經驗者尤佳",軟體設計工程師、通訊軟體工程師、Internet程式設計師認識「」職務詳細職類分析(工作內容、薪資分布..)更多相關工作,待遇面議（經常性薪資達4萬元或以上）經常性薪資經常性薪資包括本薪、按月給付的固定津貼及獎金、按月發放的工作（生產、績效、業績）獎金、全勤獎金及其他經常性給與。詳見勞動力發展辭典。檢舉不實,全職,新北市新店區民權路100號15F(新店線大坪林捷運站1號出口)地圖找工作,不需負擔管理責任,無需出差外派,日班,週休二日,不限,3至4人,上班族、應屆畢業生,不拘,大學以上,資訊工程相關、數學及電算機科學學科類、其他數學及電算機科學相關,"
英文--聽/中等、說/中等、讀/中等、寫/中等
",C、C++、Java、Python,不拘,,,為什麼選擇加入訊連… ◎薪資福利-訊連是全台灣規模最大的軟體公司-薪資優渥高於業界，具競爭力的分紅制度-高額的專利獎金措施，訓練研發人才具備專利知識-穩建的財務結構讓我們歷經多次金融海嘯，依然維持高獲利 ◎工作環境-交通便利，鄰近北二高及捷運大坪林站-個人獨立的工作空間，隱秘性高，讓你可以自由發揮創意-辦公空間免費的咖啡及茶飲-免費按摩紓壓及全天候開放的健身房及淋浴間，兼具工作與健康-開放自由的企業文化來自於我們有最扁平的組織，上下溝通無障礙-我們是快樂工作人，是幸福企業，數度獲得工作與生活平衡獎的肯定 ◎學習成長-厚植研發專利，引領影音世代；擁有領先業界的視訊及圖像處理技術，來到這裡，你可以學到最完整的軟體工程開發流程-頂尖程式高手如雲，讓你有切磋不完的技術-如同實驗室般的討論風氣，時時可以接收最新的資訊-多角度的培育計劃，培育全球最優秀的軟體技術與管理人才-每週固定部門充電時間，由公司提供茶點經費讓同仁自由運用辦公時間，進行深度的研究計劃 ◎未來展望創新、求變是訊連一直以來的信念，擴展版圖的下一步，訊連將以大數據分析、機器學習、自然語言/語音/圖像、神經網絡&深度學習、及多媒體辨識/風格解析等革新技術跨足智慧商務應用領域，打造簡單零距離的視訊協作溝通平台，讓你輕鬆使用雲端會議，溝通解決大小事。,其它軟體及網路相關業,軟體開發設計/系統整合,400人,10億,人力資源部,新北市新店區民權路100號15F(新店線大坪林捷運站1號出口)地圖,暫不提供,暫不提供,www.cyberlink.com,訊連科技創立於1996年，為全球首屈一指的多媒體影音軟體公司，以旗艦產品PowerDVD及威力導演著稱。堅實穩固的技術基礎及革命性的多媒體創新，使訊連榮獲超過181項專利，並持續為消費者提供最先進的軟體解決方案。2000年訊連科技於台灣證券交易所正式上市(股票代碼：5203.TW)，並在全球皆設有據點，除臺北事業總部，亦涵蓋北美、日本、歐洲與亞太地區，共計360名員工與超過200名工程師。,【媒體娛樂】PowerDVD 為本類別之旗艦產品，提供最新的影音多媒體播放體驗 + 最新的影音技術格式。 【媒體創作】威力導演與相片大師等影相創作軟體，將影片及相片作品提升至專業等級。 【行動方案 】相片編輯、影片編輯和視聽娛樂等行動Apps。 【商業應用】全新視訊會議工具 VideoMeeting，及簡報直播工具 CyberLink PresenterLink。 【雲端服務】雲端社群網站- DirectorZone 和 MoovieLive - 提供使用者們一個分享影音創作和電影資訊的社群平台。,,,,
人工智慧軟體應用工程師,訊連科技股份有限公司,"
大學","
新北市新店區","
30人以上應徵","我們在做這樣的事：1. 應用人工智慧開發多媒體影音軟體我們在找這樣的人才：1. 資訊、電機、統計、應數等理工科系所畢業C/C++, Python, Java精通至少一種2. 對人工智慧、機器學習充滿熱情3. 熟windows programming尤佳",軟體設計工程師、演算法開發工程師認識「」職務詳細職類分析(工作內容、薪資分布..)更多相關工作,待遇面議（經常性薪資達4萬元或以上）經常性薪資經常性薪資包括本薪、按月給付的固定津貼及獎金、按月發放的工作（生產、績效、業績）獎金、全勤獎金及其他經常性給與。詳見勞動力發展辭典。檢舉不實,全職,新北市新店區民權路100號15F(新店線大坪林捷運站1號出口)地圖找工作,不需負擔管理責任,無需出差外派,日班,週休二日,一週內,1人,上班族、應屆畢業生、研發替代役工作,不拘,大學以上,資訊工程相關、其他數學及電算機科學相關、資訊管理相關,不拘,C、C++、Java、Python,軟體程式設計,,,為什麼選擇加入訊連… ◎薪資福利-訊連是全台灣規模最大的軟體公司-薪資優渥高於業界，具競爭力的分紅制度-高額的專利獎金措施，訓練研發人才具備專利知識-穩建的財務結構讓我們歷經多次金融海嘯，依然維持高獲利 ◎工作環境-交通便利，鄰近北二高及捷運大坪林站-個人獨立的工作空間，隱秘性高，讓你可以自由發揮創意-辦公空間免費的咖啡及茶飲-免費按摩紓壓及全天候開放的健身房及淋浴間，兼具工作與健康-開放自由的企業文化來自於我們有最扁平的組織，上下溝通無障礙-我們是快樂工作人，是幸福企業，數度獲得工作與生活平衡獎的肯定 ◎學習成長-厚植研發專利，引領影音世代；擁有領先業界的視訊及圖像處理技術，來到這裡，你可以學到最完整的軟體工程開發流程-頂尖程式高手如雲，讓你有切磋不完的技術-如同實驗室般的討論風氣，時時可以接收最新的資訊-多角度的培育計劃，培育全球最優秀的軟體技術與管理人才-每週固定部門充電時間，由公司提供茶點經費讓同仁自由運用辦公時間，進行深度的研究計劃 ◎未來展望創新、求變是訊連一直以來的信念，擴展版圖的下一步，訊連將以大數據分析、機器學習、自然語言/語音/圖像、神經網絡&深度學習、及多媒體辨識/風格解析等革新技術跨足智慧商務應用領域，打造簡單零距離的視訊協作溝通平台，讓你輕鬆使用雲端會議，溝通解決大小事。,其它軟體及網路相關業,軟體開發設計/系統整合,400人,10億,人力資源部,新北市新店區民權路100號15F(新店線大坪林捷運站1號出口)地圖,暫不提供,暫不提供,www.cyberlink.com,訊連科技創立於1996年，為全球首屈一指的多媒體影音軟體公司，以旗艦產品PowerDVD及威力導演著稱。堅實穩固的技術基礎及革命性的多媒體創新，使訊連榮獲超過181項專利，並持續為消費者提供最先進的軟體解決方案。2000年訊連科技於台灣證券交易所正式上市(股票代碼：5203.TW)，並在全球皆設有據點，除臺北事業總部，亦涵蓋北美、日本、歐洲與亞太地區，共計360名員工與超過200名工程師。,【媒體娛樂】PowerDVD 為本類別之旗艦產品，提供最新的影音多媒體播放體驗 + 最新的影音技術格式。 【媒體創作】威力導演與相片大師等影相創作軟體，將影片及相片作品提升至專業等級。 【行動方案 】相片編輯、影片編輯和視聽娛樂等行動Apps。 【商業應用】全新視訊會議工具 VideoMeeting，及簡報直播工具 CyberLink PresenterLink。 【雲端服務】雲端社群網站- DirectorZone 和 MoovieLive - 提供使用者們一個分享影音創作和電影資訊的社群平台。,,,,
Technical Support&Lab 技術支援軟體測試工程師(TSD2),D-Link_友訊科技股份有限公司,"
高中以下","
台北市內湖區","
6~10人應徵","1.提供WW產品技術支援服務.2.執行產品測試驗證.3.撰寫測試計畫,開發自動化測試.4.提供產品改善意見與建議.5.定期提供產品技術教育訓練.其他條件To provide WW support and LAB testing for D-Link security products, we're searching the one who is:1. Familiar with network relative knowledge ( Ex. TCP/IP, VPN, Routing protocols & switching,Wireless 802.11, packet analysis, security device settings,etc.)2. Having a fundamental knowledge on Wireless domain.3. Having good communication skill with developer team in English.4. Better to have the script writing capability by using Python,TCL.5. Capable to write up the test plan in English.※依工作經驗及能力核敘，能力強者不受此限(Salary is competitive based on job knowledge and experience. Salary range does not apply to strong candidates.)",網路安全分析師、軟體設計工程師、網路管理工程師認識「」職務詳細職類分析(工作內容、薪資分布..)更多相關工作,"月薪30,000~45,000元",全職,台北市內湖區新湖三路289號地圖找工作,不需負擔管理責任,無需出差外派,日班，08:30~17:30,依公司規定,不限,不限,上班族、應屆畢業生,不拘,不拘,不拘,"
英文--聽/中等、說/中等、讀/精通、寫/精通
",不拘,不拘,,,1.週休二日，彈性一小時上下班。2.勞、健保及免費員工團保（含壽險、意外險、職災險、住院醫療險、癌症醫療險）。 3.員工眷屬團保補助（含住院醫療險、癌症醫療險）。4.免費定期員工健康檢查，協助同仁了解自身身體情況。5.設置員工餐廳、補助同仁餐費，並提供多樣而豐富的餐飲服務。6.提供各職能訓練學程。7.職工福利委員會提供多采多姿的員工活動：  *每年補助員工國外國內旅遊活動   *提供各式年節禮金、禮券、禮品  *員工戶外活動，放鬆心情，增進員工互動關係   *補助員工社團活動，依自我興趣，與同好相互學習成長,網際網路相關業,網路通訊相關業,650人,65億,人力資源部,台北市內湖區新湖三路289號地圖,暫不提供,暫不提供,http://www.dlink.com.tw,"友訊科技成立於 1986年，最早英文名為Datex Systems。Datex源自「Data exchange」(資料交換)，藉此強調網路技術的最初目的，而隨著世界的演進，Datex網通產品提供的將不再只是資料傳輸的功能，網路正逐漸成為將人與人連結在一起的一種方式。因此，D-Link品牌名稱結合原公司名Datex之第一個字母「D」，再加上「Link」連結的概念，而公司中文名稱「友訊」正含有「好朋友一起搞通訊」及「友善的通訊」之意涵，並以此作為我們1994年於台灣證券交易所上市使用的正式名稱，這些概念也正塑造了今日的友訊科技。D-Link不僅僅是一家製造網路解決方案的公司，更是連結人類生活各種面向的品牌，各種網通產品包括企業級交換機和安全設備到消費型家用多媒體系統產品。 
 我們致力為全球消費者以及各規模企業提供高品質的網路解決方案服務，以『處處有網路，人人都會用』(Building Networks for People) 的使命，立足全世界，並遵守「OECD多國企業指導綱領」，承擔企業身為世界公民的責任與義務，同時以永續經營為目標，推出符合綠能環保概念且優質的網通產品。從創立至今逾32年，D-Link憑藉完整多元的產品線以及優異且屢獲國際獎項肯定的網路產品和服務，儼然成為全球知名的國際企業。面對快速變化、競爭和不斷發展的產業環境，D-Link仍將以一貫不變的堅持，為客戶提供兼具效能與品質的網路解決方案服務。
 從草創時的小公司，到如今成為享譽全球的領導網通品牌，D-Link在全球擁有超過2100位員工，在全世界60餘國設立近150個行銷據點，深入當地瞭解市場，落實「在地化經營」，以國際級的專業與服務，提供在地客戶及伙伴最符合當地需求的產品與解決方案。今日的D-Link品牌，除提供消費者、企業及電信業者涵蓋各種使用情境的智慧連網解決方案外，更結合自行研發的雲端平台，打造可供託管供應商及企業主使用之雲端網路管理服務，全面滿足客戶需求。展望未來，我們亦將不斷發展並持續創新、研發，提供最佳服務品質、產品及解決方案以因應當前市場需求，迎向更輝煌耀眼的未來。","一、完整產品線從交換器、集線器、路由器、橋徑器、網器連結器、各式網路卡、網路週邊伺服器到網路系統/管理軟體一應俱全。 二、多元系列產品，以滿足家庭、企業使用者及電信業者之需求，包含：1. Covr 系列 Wi-Fi 系統：具備 Smart Roaming、Smart Steering和無縫連線等特點之網狀上網系統，適合各種家庭使用，即使多組無線裝置同時連線也不會減緩網路速度，提供全覆蓋完美無縫上網。2. mydlink Pro 無線網路攝影機：具備多項極致效能，包括 Full-HD 1080P 高解析度，智能影像分析(IVA)功能，可全天候防水，並提供 mydlink 雲端錄影(Cloud Recording)方案。3. 工業型高效能交換器：具備堅固耐用之特性，以滿足智慧城市應用、工業自動化之應用需求。4. Nuclias 雲端網路管理解決方案：可讓託管服務供應商及企業主隨時隨地遠端設定和監控其網路基礎建設，具備高效益與簡易安裝之特點。5. Mobile solutions：涵蓋各種使用情境的行動連線解決方案，包含 Smart city, Smart transportation, Smart retail 等解決方案，為企業及電信業者提供高附加價值之服務。6. 支援 Amazon Alexa 和 Google Assistant 之智慧家庭產品：相容產品陣容包含網路攝影機、路由器與智慧插座等產品，使用者可以透過語音輕鬆控制與操作。",,,,
軟體測試工程師/自動化測試工程師(ESSDD),D-Link_友訊科技股份有限公司,"
大學","
新竹市","
6~10人應徵",負責Ethernet Switch產品相關軟體測試工作<<工作內容>>1.軟體測試環境架設及執行軟體測試工作2.測試行程安排及相關報告，問題追蹤與驗證3.測試結果分析，提供改善建議4.開發測試工具和自動化測試5.熟Linux、shell script和C語言尤佳<<條件要求>>1.工作技能：功能測試(Function test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、軟體整合測試、測試環境建置規劃、壓力測試(stress test)、測試計劃及測試報告書撰寫2.科系要求：資訊工程、資訊管理相關3.擅長工具：Python / Ruby / Perl / Tcl,軟韌體測試工程師認識「」職務詳細職類分析(工作內容、薪資分布..)更多相關工作,"月薪35,000~50,000元",全職,新竹市關新路27號地圖找工作,不需負擔管理責任,無需出差外派,日班，08:30~17:30,依公司規定,一個月內,1至3人,上班族、應屆畢業生,不拘,大學以上,數學及電算機科學學科類、電機電子工程相關、其他數學及電算機科學相關,"
英文--聽/略懂、說/略懂、讀/中等、寫/中等
",C、C++、Perl、Python、Ruby、TCL、Cisco、Ethernet、LAN、VLAN,功能測試(functiontest)、安全性測試(Securitytest)、使用者測試(Usabilitytest)、問題追蹤處理(Bugtracking)、軟體整合測試、韌體整合測試、壓力測試(stresstest)、測試計劃及測試報告書撰寫,,優先面試經濟部工業局DIGI Talent計畫之結訓研習生(IOT),1.週休二日，彈性一小時上下班。2.勞、健保及免費員工團保（含壽險、意外險、職災險、住院醫療險、癌症醫療險）。 3.員工眷屬團保補助（含住院醫療險、癌症醫療險）。4.免費定期員工健康檢查，協助同仁了解自身身體情況。5.設置員工餐廳、補助同仁餐費，並提供多樣而豐富的餐飲服務。6.提供各職能訓練學程。7.職工福利委員會提供多采多姿的員工活動：  *每年補助員工國外國內旅遊活動   *提供各式年節禮金、禮券、禮品  *員工戶外活動，放鬆心情，增進員工互動關係   *補助員工社團活動，依自我興趣，與同好相互學習成長,網際網路相關業,網路通訊相關業,650人,65億,人力資源部,台北市內湖區新湖三路289號地圖,暫不提供,暫不提供,http://www.dlink.com.tw,"友訊科技成立於 1986年，最早英文名為Datex Systems。Datex源自「Data exchange」(資料交換)，藉此強調網路技術的最初目的，而隨著世界的演進，Datex網通產品提供的將不再只是資料傳輸的功能，網路正逐漸成為將人與人連結在一起的一種方式。因此，D-Link品牌名稱結合原公司名Datex之第一個字母「D」，再加上「Link」連結的概念，而公司中文名稱「友訊」正含有「好朋友一起搞通訊」及「友善的通訊」之意涵，並以此作為我們1994年於台灣證券交易所上市使用的正式名稱，這些概念也正塑造了今日的友訊科技。D-Link不僅僅是一家製造網路解決方案的公司，更是連結人類生活各種面向的品牌，各種網通產品包括企業級交換機和安全設備到消費型家用多媒體系統產品。 
 我們致力為全球消費者以及各規模企業提供高品質的網路解決方案服務，以『處處有網路，人人都會用』(Building Networks for People) 的使命，立足全世界，並遵守「OECD多國企業指導綱領」，承擔企業身為世界公民的責任與義務，同時以永續經營為目標，推出符合綠能環保概念且優質的網通產品。從創立至今逾32年，D-Link憑藉完整多元的產品線以及優異且屢獲國際獎項肯定的網路產品和服務，儼然成為全球知名的國際企業。面對快速變化、競爭和不斷發展的產業環境，D-Link仍將以一貫不變的堅持，為客戶提供兼具效能與品質的網路解決方案服務。
 從草創時的小公司，到如今成為享譽全球的領導網通品牌，D-Link在全球擁有超過2100位員工，在全世界60餘國設立近150個行銷據點，深入當地瞭解市場，落實「在地化經營」，以國際級的專業與服務，提供在地客戶及伙伴最符合當地需求的產品與解決方案。今日的D-Link品牌，除提供消費者、企業及電信業者涵蓋各種使用情境的智慧連網解決方案外，更結合自行研發的雲端平台，打造可供託管供應商及企業主使用之雲端網路管理服務，全面滿足客戶需求。展望未來，我們亦將不斷發展並持續創新、研發，提供最佳服務品質、產品及解決方案以因應當前市場需求，迎向更輝煌耀眼的未來。","一、完整產品線從交換器、集線器、路由器、橋徑器、網器連結器、各式網路卡、網路週邊伺服器到網路系統/管理軟體一應俱全。 二、多元系列產品，以滿足家庭、企業使用者及電信業者之需求，包含：1. Covr 系列 Wi-Fi 系統：具備 Smart Roaming、Smart Steering和無縫連線等特點之網狀上網系統，適合各種家庭使用，即使多組無線裝置同時連線也不會減緩網路速度，提供全覆蓋完美無縫上網。2. mydlink Pro 無線網路攝影機：具備多項極致效能，包括 Full-HD 1080P 高解析度，智能影像分析(IVA)功能，可全天候防水，並提供 mydlink 雲端錄影(Cloud Recording)方案。3. 工業型高效能交換器：具備堅固耐用之特性，以滿足智慧城市應用、工業自動化之應用需求。4. Nuclias 雲端網路管理解決方案：可讓託管服務供應商及企業主隨時隨地遠端設定和監控其網路基礎建設，具備高效益與簡易安裝之特點。5. Mobile solutions：涵蓋各種使用情境的行動連線解決方案，包含 Smart city, Smart transportation, Smart retail 等解決方案，為企業及電信業者提供高附加價值之服務。6. 支援 Amazon Alexa 和 Google Assistant 之智慧家庭產品：相容產品陣容包含網路攝影機、路由器與智慧插座等產品，使用者可以透過語音輕鬆控制與操作。",,,,
Ethernet Switch 軟韌體開發工程師 (ESSDD),D-Link_友訊科技股份有限公司,"
大學","
新竹市","
11~30人應徵","Familiar with network protocol stack(s) and Linux kernel, with embedded system software development experience.擅長工具:Linux, C, C++, Java, Python, Ruby工作技能:軟體程式設計, 結構化程式設計, 韌體程式設計, 網路程式設計, 模組化系統設計, 軟體測試程式設計熟 C語言熟 Linux 內核熟 Layer2/Layer3(含TCP/IP)/MEF 網路協定熟 TSN / VPLS / MPLS / OpenFlow",軟體專案主管、軟體設計工程師、韌體設計工程師認識「」職務詳細職類分析(工作內容、薪資分布..)更多相關工作,待遇面議（經常性薪資達4萬元或以上）經常性薪資經常性薪資包括本薪、按月給付的固定津貼及獎金、按月發放的工作（生產、績效、業績）獎金、全勤獎金及其他經常性給與。詳見勞動力發展辭典。檢舉不實,全職,新竹市關新路27號地圖找工作,不需負擔管理責任,無需出差外派,日班，08:30~17:30,依公司規定,一個月內,10至15人,上班族、應屆畢業生,不拘,大學以上,資訊工程相關、電機電子工程相關、其他數學及電算機科學相關,"
英文--聽/略懂、說/略懂、讀/中等、寫/中等
",Linux、C、C++、Java、JSP、Python、Ruby,系統架構規劃、軟體工程系統開發、軟體品質與保證、韌體工程開發、網路資料傳輸、軟體程式設計、結構化程式設計、韌體程式設計、模組化系統設計,,優先面試經濟部工業局DIGI Talent計畫之結訓研習生(IOT),1.週休二日，彈性一小時上下班。2.勞、健保及免費員工團保（含壽險、意外險、職災險、住院醫療險、癌症醫療險）。 3.員工眷屬團保補助（含住院醫療險、癌症醫療險）。4.免費定期員工健康檢查，協助同仁了解自身身體情況。5.設置員工餐廳、補助同仁餐費，並提供多樣而豐富的餐飲服務。6.提供各職能訓練學程。7.職工福利委員會提供多采多姿的員工活動：  *每年補助員工國外國內旅遊活動   *提供各式年節禮金、禮券、禮品  *員工戶外活動，放鬆心情，增進員工互動關係   *補助員工社團活動，依自我興趣，與同好相互學習成長,網際網路相關業,網路通訊相關業,650人,65億,人力資源部,台北市內湖區新湖三路289號地圖,暫不提供,暫不提供,http://www.dlink.com.tw,"友訊科技成立於 1986年，最早英文名為Datex Systems。Datex源自「Data exchange」(資料交換)，藉此強調網路技術的最初目的，而隨著世界的演進，Datex網通產品提供的將不再只是資料傳輸的功能，網路正逐漸成為將人與人連結在一起的一種方式。因此，D-Link品牌名稱結合原公司名Datex之第一個字母「D」，再加上「Link」連結的概念，而公司中文名稱「友訊」正含有「好朋友一起搞通訊」及「友善的通訊」之意涵，並以此作為我們1994年於台灣證券交易所上市使用的正式名稱，這些概念也正塑造了今日的友訊科技。D-Link不僅僅是一家製造網路解決方案的公司，更是連結人類生活各種面向的品牌，各種網通產品包括企業級交換機和安全設備到消費型家用多媒體系統產品。 
 我們致力為全球消費者以及各規模企業提供高品質的網路解決方案服務，以『處處有網路，人人都會用』(Building Networks for People) 的使命，立足全世界，並遵守「OECD多國企業指導綱領」，承擔企業身為世界公民的責任與義務，同時以永續經營為目標，推出符合綠能環保概念且優質的網通產品。從創立至今逾32年，D-Link憑藉完整多元的產品線以及優異且屢獲國際獎項肯定的網路產品和服務，儼然成為全球知名的國際企業。面對快速變化、競爭和不斷發展的產業環境，D-Link仍將以一貫不變的堅持，為客戶提供兼具效能與品質的網路解決方案服務。
 從草創時的小公司，到如今成為享譽全球的領導網通品牌，D-Link在全球擁有超過2100位員工，在全世界60餘國設立近150個行銷據點，深入當地瞭解市場，落實「在地化經營」，以國際級的專業與服務，提供在地客戶及伙伴最符合當地需求的產品與解決方案。今日的D-Link品牌，除提供消費者、企業及電信業者涵蓋各種使用情境的智慧連網解決方案外，更結合自行研發的雲端平台，打造可供託管供應商及企業主使用之雲端網路管理服務，全面滿足客戶需求。展望未來，我們亦將不斷發展並持續創新、研發，提供最佳服務品質、產品及解決方案以因應當前市場需求，迎向更輝煌耀眼的未來。","一、完整產品線從交換器、集線器、路由器、橋徑器、網器連結器、各式網路卡、網路週邊伺服器到網路系統/管理軟體一應俱全。 二、多元系列產品，以滿足家庭、企業使用者及電信業者之需求，包含：1. Covr 系列 Wi-Fi 系統：具備 Smart Roaming、Smart Steering和無縫連線等特點之網狀上網系統，適合各種家庭使用，即使多組無線裝置同時連線也不會減緩網路速度，提供全覆蓋完美無縫上網。2. mydlink Pro 無線網路攝影機：具備多項極致效能，包括 Full-HD 1080P 高解析度，智能影像分析(IVA)功能，可全天候防水，並提供 mydlink 雲端錄影(Cloud Recording)方案。3. 工業型高效能交換器：具備堅固耐用之特性，以滿足智慧城市應用、工業自動化之應用需求。4. Nuclias 雲端網路管理解決方案：可讓託管服務供應商及企業主隨時隨地遠端設定和監控其網路基礎建設，具備高效益與簡易安裝之特點。5. Mobile solutions：涵蓋各種使用情境的行動連線解決方案，包含 Smart city, Smart transportation, Smart retail 等解決方案，為企業及電信業者提供高附加價值之服務。6. 支援 Amazon Alexa 和 Google Assistant 之智慧家庭產品：相容產品陣容包含網路攝影機、路由器與智慧插座等產品，使用者可以透過語音輕鬆控制與操作。",,,,
